Filename: (PSNR, SSIM)
foreman.bmp: (27.5146189927, 0.89086027174)
man.bmp: (24.8931221158, 0.724097826954)
pepper.bmp: (28.575330596, 0.83838109508)
comic.bmp: (21.0336906084, 0.711881985252)
coastguard.bmp: (23.5788254417, 0.595514611431)
baboon.bmp: (20.2236103988, 0.516000908447)
monarch.bmp: (27.7831670843, 0.913795932204)
flowers.bmp: (25.5110217761, 0.794120603024)
face.bmp: (30.3225242584, 0.745894362017)
ppt3.bmp: (21.7407639427, 0.88129631853)
zebra.bmp: (25.2204175262, 0.793200847938)
bridge.bmp: (23.3107078877, 0.656328913052)
barbara.bmp: (23.3399024075, 0.740362463629)
lenna.bmp: (30.0799808494, 0.835352761811)
